perceived_risk,urgency,distancing,probability
1,1,1,0.120833333
1,2,1,0.092045455
1,3,1,0.058677686
1,4,1,0.043055556
1,5,1,0.078481013
2,1,1,0.04375
2,2,1,0.038676845
2,3,1,0.031759657
2,4,1,0.041801802
2,5,1,0.085232068
3,1,1,0.066666667
3,2,1,0.115436242
3,3,1,0.101577287
3,4,1,0.126771654
3,5,1,0.228125
4,1,1,0.208
4,2,1,0.35
4,3,1,0.162318841
4,4,1,0.24
4,5,1,0.454901961
5,1,1,0.085714286
5,2,1,0.171428571
5,3,1,0.3
5,4,1,0.326315789
5,5,1,0.366666667
1,1,2,0.120833333
1,2,2,0.182954545
1,3,2,0.215702479
1,4,2,0.188888889
1,5,2,0.217721519
2,1,2,0.2390625
2,2,2,0.257506361
2,3,2,0.249213162
2,4,2,0.247207207
2,5,2,0.266666667
3,1,2,0.194871795
3,2,2,0.24966443
3,3,2,0.249842271
3,4,2,0.3
3,5,2,0.1890625
4,1,2,0.288
4,2,2,0.2875
4,3,2,0.336231884
4,4,2,0.211428571
4,5,2,0.121568627
5,1,2,0.585714286
5,2,2,0.6
5,3,2,0.157142857
5,4,2,0.063157895
5,5,2,0.2
1,1,3,0.25625
1,2,3,0.296590909
1,3,3,0.397520661
1,4,3,0.369444444
1,5,3,0.293670886
2,1,3,0.3328125
2,2,3,0.377099237
2,3,3,0.49527897
2,4,3,0.445405405
2,5,3,0.435443038
3,1,3,0.451282051
3,2,3,0.370469799
3,3,3,0.470662461
3,4,3,0.378740157
3,5,3,0.3375
4,1,3,0.128
4,2,3,0.1625
4,3,3,0.292753623
4,4,3,0.24952381
4,5,3,0.239215686
5,1,3,0.085714286
5,2,3,0.028571429
5,3,3,0.228571429
5,4,3,0.168421053
5,5,3,0.2
1,1,4,0.297916667
1,2,4,0.268181818
1,3,4,0.161983471
1,4,4,0.195833333
1,5,4,0.091139241
2,1,4,0.2703125
2,2,4,0.211704835
2,3,4,0.159084406
2,4,4,0.225585586
2,5,4,0.156962025
3,1,4,0.156410256
3,2,4,0.182550336
3,3,4,0.155205047
3,4,4,0.177952756
3,5,4,0.1890625
4,1,4,0.288
4,2,4,0.1625
4,3,4,0.147826087
4,4,4,0.192380952
4,5,4,0.101960784
5,1,4,0.085714286
5,2,4,0.171428571
5,3,4,0.157142857
5,4,4,0.326315789
5,5,4,0.2
1,1,5,0.204166667
1,2,5,0.160227273
1,3,5,0.166115702
1,4,5,0.202777778
1,5,5,0.318987342
2,1,5,0.1140625
2,2,5,0.115012723
2,3,5,0.064663805
2,4,5,0.04
2,5,5,0.055696203
3,1,5,0.130769231
3,2,5,0.081879195
3,3,5,0.022712934
3,4,5,0.016535433
3,5,5,0.05625
4,1,5,0.088
4,2,5,0.0375
4,3,5,0.060869565
4,4,5,0.106666667
4,5,5,0.082352941
5,1,5,0.157142857
5,2,5,0.028571429
5,3,5,0.157142857
5,4,5,0.115789474
5,5,5,0.033333333
